Timestamp,Milliseconds,X,Y,Z
2022-12-18 16:13:49,47001,-0.495,2.578,13.668
2022-12-18 16:13:49,47501,-2.508,2.382,1.299
2022-12-18 16:13:50,48002,-2.99,0.584,13.697
2022-12-18 16:13:50,48501,0.414,6.854,6.042
2022-12-18 16:13:51,49001,-0.078,2.94,1.601
2022-12-18 16:13:51,49501,0.684,4.479,14.537
2022-12-18 16:13:52,50002,3.739,-2.307,7.077
2022-12-18 16:13:52,50501,2.162,-1.721,5.219
2022-12-18 16:13:53,51001,-8.077,0.909,-13.015
2022-12-18 16:13:53,51502,-4.019,2.944,37.55
2022-12-18 16:13:54,52001,6.869,-4.335,12.444
2022-12-18 16:13:54,52501,5.19,5.908,8.997
2022-12-18 16:13:55,53001,-1.199,2.98,16.321
2022-12-18 16:13:55,53502,11.705,2.688,-15.277
2022-12-18 16:13:56,54001,-2.094,-1.443,-11.614
2022-12-18 16:13:56,54501,1.439,12.227,5.769
2022-12-18 16:13:57,55001,-5.626,0.663,-20.595
2022-12-18 16:13:57,55502,9.835,7.853,-11.377
2022-12-18 16:13:58,56001,-9.174,4.412,-1.07
2022-12-18 16:13:58,56501,-1.323,-2.839,50.62
2022-12-18 16:13:59,57001,-10.843,-4.371,57.934
2022-12-18 16:13:59,57502,11.571,10.826,-34.278
2022-12-18 16:14:00,58001,-10.385,-12.418,69.168
2022-12-18 16:14:00,58501,-17.376,-12.816,56.716
2022-12-18 16:14:01,59001,10.331,-6.255,-2.894
2022-12-18 16:14:01,59502,-13.46,7.733,26.711
2022-12-18 16:14:02,60001,10.975,-10.699,9.756
2022-12-18 16:14:02,60501,15.169,0.344,-13.551
2022-12-18 16:14:03,61001,-7.623,9.268,1.984
2022-12-18 16:14:03,61502,-3.844,8.348,30.674
2022-12-18 16:14:04,62001,8.109,-3.296,-3.969
2022-12-18 16:14:04,62501,-2.851,2.308,28.035
2022-12-18 16:14:05,63001,-3.38,3.993,20.558
2022-12-18 16:14:05,63502,1.886,-2.104,4.663
