Timestamp,Milliseconds,X,Y,Z
2022-12-18 15:44:01,47500,0.244,3.514,11.341
2022-12-18 15:44:01,48001,0.34,-2.832,11.822
2022-12-18 15:44:02,48500,0.383,1.853,11.159
2022-12-18 15:44:02,49000,-0.196,-1.62,9.765
2022-12-18 15:44:03,49500,-0.167,2.525,10.12
2022-12-18 15:44:03,50000,0.514,1.178,15.88
2022-12-18 15:44:04,50500,-0.469,1.872,13.946
2022-12-18 15:44:04,51000,-2.374,-1.441,10.749
2022-12-18 15:44:05,51501,5.844,1.065,11.879
2022-12-18 15:44:05,52000,7.568,-6.459,12.473
2022-12-18 15:44:06,52500,-0.665,1.506,13.251
2022-12-18 15:44:06,53001,0.584,4.699,10.713
2022-12-18 15:44:07,53500,1.419,-4.608,8.573
2022-12-18 15:44:07,54000,-1.773,6.579,12.234
2022-12-18 15:44:08,54501,0.754,1.649,1.228
2022-12-18 15:44:08,55000,0.364,2.2,5.523
2022-12-18 15:44:09,55500,1.154,3.071,9.454
2022-12-18 15:44:09,56001,-1.311,-0.004,13.809
2022-12-18 15:44:10,56500,3.816,-0.157,11.503
2022-12-18 15:44:10,57000,0.557,3.533,10.263
2022-12-18 15:44:11,57501,-6.423,9.126,19.926
2022-12-18 15:44:11,58000,10.194,-6.78,4.953
2022-12-18 15:44:12,58500,14.262,-0.974,-2.54
2022-12-18 15:44:12,59000,-14.791,8.178,4.828
2022-12-18 15:44:13,59501,9.318,-16.953,3.014
2022-12-18 15:44:13,60000,6.6,-16.761,14.326
2022-12-18 15:44:14,60500,-3.713,6.557,7.448
2022-12-18 15:44:14,61001,-1.86,3.782,17.355
2022-12-18 15:44:15,61500,-0.378,-0.603,13.369
2022-12-18 15:44:15,62000,1.407,1.486,0.255
2022-12-18 15:44:16,62501,0.462,2.3,2.336
2022-12-18 15:44:16,63000,-2.319,0.873,13.974
2022-12-18 15:44:17,63500,0.306,1.489,0.208
2022-12-18 15:44:17,64000,1.091,1.101,-3.134
2022-12-18 15:44:18,64501,-0.856,3.859,14.396
2022-12-18 15:44:18,65000,0.313,-0.375,4.069
2022-12-18 15:44:19,65500,1.805,1.958,6.229
2022-12-18 15:44:19,66001,-0.268,4.144,13.589
2022-12-18 15:44:20,66500,2.363,-1.58,0.229
2022-12-18 15:44:20,67000,0.117,-0.713,9.95
